current_time,co2_value,temperature,pressure,humidity,gas_resistance,air_quality
2024-08-01 21:41:13.267562,709,25.42,996.52,45.645,,
2024-08-01 21:41:24.157935,712,24.67,996.57,46.797,,
2024-08-01 21:41:35.017767,708,24.63,996.58,47.134,,
2024-08-01 21:41:45.930598,721,24.59,996.54,47.242,,
2024-08-01 21:41:56.725743,711,24.58,996.53,47.299,,
2024-08-01 21:42:07.709553,704,24.51,996.55,47.425,,
2024-08-01 21:42:18.547810,714,24.52,996.53,47.421,,
2024-08-01 21:42:29.381098,702,24.47,996.53,47.547,,
2024-08-01 21:42:40.206760,709,24.45,996.54,47.62,,
2024-08-01 21:42:51.108301,709,24.41,996.54,47.731,,
2024-08-01 21:43:01.906979,721,24.43,996.55,47.708,,
2024-08-01 21:43:12.757631,707,,,,310773.899848255,83.47392261652975
2024-08-01 21:43:23.646171,703,24.39,996.52,47.787,,
2024-08-01 21:43:34.466659,718,24.4,996.53,47.793,,
2024-08-01 21:43:45.286870,719,24.43,996.55,47.708,,
2024-08-01 21:43:56.200485,726,,,,311340.8330799635,83.58146625766662
2024-08-01 21:44:06.994874,738,24.37,996.5,47.801,,
2024-08-01 21:44:17.826125,706,24.38,996.51,47.793,,
2024-08-01 21:44:28.697278,703,24.37,996.51,47.813,,
2024-08-01 21:44:39.588318,720,,,,311057.1081409477,83.50597648991457
2024-08-01 21:44:50.568159,737,24.33,996.52,47.847,,
2024-08-01 21:45:01.465766,726,24.33,996.52,47.898,,
2024-08-01 21:45:12.296700,721,24.38,996.53,47.799,,
2024-08-01 21:45:23.222889,705,24.39,996.52,47.773,,
2024-08-01 21:45:34.097187,687,24.4,996.5,47.731,,
2024-08-01 21:45:44.885995,686,24.33,996.51,47.854,,
2024-08-01 21:45:55.742274,693,24.36,996.51,47.821,,
2024-08-01 21:46:06.550350,684,24.36,996.5,47.807,,
2024-08-01 21:46:17.406789,679,24.31,996.51,47.905,,
2024-08-01 21:46:28.288093,674,24.33,996.53,47.842,,
2024-08-01 21:46:39.221462,671,24.34,996.52,47.819,,
2024-08-01 21:46:50.107970,680,24.35,996.49,47.787,,
2024-08-01 21:47:00.949656,702,24.28,996.52,47.956,,
2024-08-01 21:47:11.997156,693,24.32,996.53,47.891,,
2024-08-01 21:47:22.892814,699,24.35,996.51,47.787,,
2024-08-01 21:47:33.757043,713,,,,310491.20679199515,83.40363769096386
2024-08-01 21:47:44.588189,704,24.35,996.53,47.823,,
2024-08-01 21:47:55.426483,709,24.39,996.51,47.743,,
2024-08-01 21:48:06.236145,719,24.4,996.49,47.718,,
2024-08-01 21:48:17.025902,716,24.42,996.51,47.632,,
2024-08-01 21:48:27.806730,707,24.38,996.52,47.725,,
2024-08-01 21:48:38.656951,708,24.42,996.5,47.644,,
2024-08-01 21:48:49.485743,717,24.42,996.49,47.563,,
2024-08-01 21:49:00.347400,718,24.34,996.51,47.708,,
2024-08-01 21:49:11.227608,718,24.35,996.54,47.692,,
2024-08-01 21:49:22.143441,734,24.37,996.51,47.696,,
2024-08-01 21:49:33.256977,737,24.41,996.51,47.662,,
2024-08-01 21:49:44.126925,733,24.46,996.52,47.531,,
2024-08-01 21:49:55.036670,722,24.43,996.51,47.571,,
2024-08-01 21:50:05.870521,727,24.43,996.56,47.541,,
2024-08-01 21:50:16.686647,718,,,,310773.899848255,83.52600594986308
2024-08-01 21:50:27.587887,726,24.4,996.55,47.65,,
2024-08-01 21:50:38.437451,729,24.38,996.52,47.68,,
2024-08-01 21:50:49.265958,713,25.38,996.59,46.387,,
2024-08-01 21:51:00.242106,705,25.43,996.57,45.863,,
2024-08-01 21:51:11.105296,740,26.36,996.57,44.531,,
2024-08-01 21:51:21.918557,745,25.67,996.56,44.549,,
2024-08-01 21:51:32.746090,732,25.61,996.54,45.175,,
2024-08-01 21:51:43.650543,737,,,,398443.57976653695,97.83125
2024-08-01 21:51:54.535231,726,25.56,996.53,45.191,,
2024-08-01 21:52:05.504983,715,25.55,996.51,45.194,,
2024-08-01 21:52:16.449762,719,,,,396361.52506289916,97.86916666666667
2024-08-01 21:52:27.264623,731,25.57,996.56,45.124,,
2024-08-01 21:52:38.060883,735,25.64,996.56,45.119,,
2024-08-01 21:52:48.978021,719,25.7,996.51,45.107,,
2024-08-01 21:52:59.880612,719,25.63,996.48,45.014,,
2024-08-01 21:53:10.782689,722,,,,424455.95854922273,97.93916666666667
2024-08-01 21:53:21.620921,725,25.71,996.47,44.898,,
2024-08-01 21:53:32.475575,732,25.71,996.46,44.879,,
2024-08-01 21:53:43.345478,728,25.69,996.43,44.803,,
2024-08-01 21:53:54.261795,727,25.55,996.45,44.79,,
2024-08-01 21:54:05.106250,714,25.68,996.51,44.916,,
2024-08-01 21:54:15.977893,719,25.64,996.49,44.867,,
2024-08-01 21:54:26.898077,732,25.6,996.5,44.903,,
2024-08-01 21:54:37.828046,720,,,,423140.49586776854,97.93416666666667
2024-08-01 21:54:48.635716,728,25.54,996.45,45.019,,
2024-08-01 21:54:59.590235,720,25.53,996.45,45.064,,
2024-08-01 21:55:10.548243,717,25.51,996.44,45.056,,
2024-08-01 21:55:21.471054,721,25.54,996.45,45.08,,
2024-08-01 21:55:32.413879,717,,,,,
2024-08-01 21:55:43.247972,719,25.53,996.43,45.108,,
2024-08-01 21:55:54.157996,714,25.57,996.43,45.098,,
2024-08-01 21:56:05.035166,714,25.58,996.47,44.979,,
2024-08-01 21:56:15.963253,718,,,,423665.7012825817,97.94708333333334
2024-08-01 21:56:27.000217,711,,,,,
2024-08-01 21:56:37.857893,712,24.99,996.46,45.421,,
2024-08-01 21:56:48.895843,717,24.52,996.46,46.599,,
2024-08-01 21:56:59.818158,706,24.39,996.46,47.805,,
2024-08-01 21:57:10.775032,698,26.1,996.49,53.97,,
2024-08-01 21:57:21.695018,690,25.49,996.48,47.698,,
2024-08-01 21:57:32.619595,696,25.09,996.49,47.202,,
2024-08-01 21:57:43.461080,697,24.66,996.48,47.398,,
2024-08-01 21:57:54.330841,700,24.44,996.46,47.996,,
2024-08-01 21:58:05.156154,704,24.29,996.46,48.411,,
2024-08-01 21:58:15.998795,720,24.16,996.45,48.727,,
2024-08-01 21:58:26.855656,738,24.04,996.47,49.02,,
2024-08-01 21:58:37.759418,728,24.43,996.46,49.177,,
2024-08-01 21:58:48.640339,719,25.22,996.5,46.532,,
2024-08-01 21:58:59.488641,708,25.32,996.52,45.955,,
2024-08-01 21:59:10.319737,717,25.38,996.48,45.782,,
2024-08-01 21:59:21.127144,702,24.23,996.5,47.104,,
2024-08-01 21:59:31.941507,716,23.96,996.46,48.755,,
2024-08-01 21:59:42.798218,725,23.86,996.46,49.302,,
2024-08-01 21:59:53.649124,738,23.79,996.44,49.615,,
2024-08-01 22:00:04.464924,757,23.73,996.46,49.821,,
2024-08-01 22:00:15.310154,771,23.7,996.48,49.976,,
2024-08-01 22:00:26.181307,780,23.66,996.44,50.077,,
2024-08-01 22:00:36.957521,837,23.62,996.44,50.216,,
2024-08-01 22:00:47.765643,820,23.59,996.47,50.298,,
2024-08-01 22:00:58.567571,759,23.56,996.46,50.421,,
2024-08-01 22:01:09.366193,729,23.52,996.45,50.504,,
2024-08-01 22:01:20.197474,703,23.46,996.46,50.623,,
2024-08-01 22:01:31.008490,723,23.44,996.46,50.727,,
2024-08-01 22:01:41.775939,698,23.41,996.47,50.786,,
2024-08-01 22:01:52.647235,685,24.71,996.54,48.486,,
2024-08-01 22:02:03.557654,674,24.91,996.51,47.392,,
2024-08-01 22:02:14.450413,688,24.99,996.5,46.864,,
2024-08-01 22:02:25.315353,701,24.92,996.53,46.565,,
