current_time,CO2,AnalogValue,Voltage,Temperature_DS18B20,Temperature_DHT11,Humidity_DHT11
2024-08-25 23:32:01,1034,29735,1.497299,27.125,30,54
2024-08-25 23:32:32,1021,29639,1.492465,27.125,30,54
2024-08-25 23:33:03,1029,29495,1.485214,27.4375,30,54
2024-08-25 23:33:35,1052,29447,1.482797,27.5,30,54
2024-08-25 23:34:06,1040,29287,1.47474,27.4375,30,53
2024-08-25 23:34:37,1042,29143,1.467489,27.3125,30,53
2024-08-25 23:35:08,1054,29079,1.464266,27.1875,30,53
2024-08-25 23:35:39,1053,29015,1.461044,27.1875,30,53
2024-08-25 23:36:11,1030,28855,1.452987,27.3125,30,53
2024-08-25 23:36:42,1006,28743,1.447347,27.375,30,53
2024-08-25 23:37:13,1029,28695,1.44493,27.1875,30,53
2024-08-25 23:37:44,1046,28646,1.442463,27.3125,30,53
2024-08-25 23:38:15,1090,28566,1.438434,27.25,30,53
2024-08-25 23:38:46,1099,28470,1.4336,27.375,30,53
2024-08-25 23:39:18,1090,28326,1.426349,27.375,30,53
2024-08-25 23:39:49,1054,28230,1.421515,27.125,30,53
2024-08-25 23:40:20,1034,28198,1.419904,27.0,30,53
2024-08-25 23:40:51,1027,28118,1.415875,27.1875,30,53
2024-08-25 23:41:22,1029,28022,1.411041,27.0625,30,53
2024-08-25 23:41:54,1052,27942,1.407013,27.125,30,53
2024-08-25 23:42:25,1023,27862,1.402985,27.0625,30,53
2024-08-25 23:42:56,1052,27830,1.401373,27.1875,30,53
2024-08-25 23:43:27,1023,27782,1.398956,27.1875,30,53
2024-08-25 23:43:58,1015,27686,1.394122,27.125,30,53
2024-08-25 23:44:30,1024,27670,1.393317,27.25,30,53
2024-08-25 23:45:01,1020,27526,1.386065,27.1875,30,53
2024-08-25 23:45:32,1065,27494,1.384454,27.1875,30,53
2024-08-25 23:46:03,1041,27430,1.381231,27.125,30,53
2024-08-25 23:46:34,1038,27286,1.37398,27.0625,30,53
2024-08-25 23:47:06,1035,27302,1.374786,27.0625,30,53
2024-08-25 23:47:37,1019,27078,1.363506,27.25,30,53
2024-08-25 23:48:08,1024,27094,1.364312,27.25,30,53
2024-08-25 23:48:39,1025,27030,1.361089,27.25,30,53
2024-08-25 23:49:10,1024,27030,1.361089,27.1875,30,53
2024-08-25 23:49:41,1001,26966,1.357867,27.0,30,53
2024-08-25 23:50:13,985,27030,1.361089,27.125,30,53
2024-08-25 23:50:44,996,26806,1.34981,27.1875,30,53
2024-08-25 23:51:15,990,26774,1.348199,27.125,30,53
2024-08-25 23:51:46,993,26710,1.344976,27.0625,30,53
2024-08-25 23:52:17,999,26630,1.340948,27.125,30,53
2024-08-25 23:52:49,1009,26726,1.345782,27.375,30,53
2024-08-25 23:53:20,1026,26534,1.336113,27.625,30,53
2024-08-25 23:53:51,1010,26502,1.334502,27.625,30,54
2024-08-25 23:54:22,1013,26518,1.335308,27.6875,30,54
2024-08-25 23:54:53,972,26454,1.332085,27.875,30,54
2024-08-25 23:55:24,950,26422,1.330474,27.5,30,54
2024-08-26 00:00:33,500,26838,1.351421,28.8125,31,59
2024-08-26 00:01:04,1049,26486,1.333696,28.8125,31,60
2024-08-26 00:01:36,1010,26470,1.332891,28.9375,31,61
2024-08-26 00:02:06,None,20068,1.01052,29.0625,31,62
2024-08-26 00:02:28,500,26806,1.34981,29.125,31,62
2024-08-26 00:02:49,500,26822,1.350616,29.1875,31,61
2024-08-26 00:03:10,1043,26678,1.343365,29.25,31,62
2024-08-26 00:03:31,1030,26550,1.336919,29.25,31,62
2024-08-26 00:03:52,1001,26646,1.341753,29.1875,31,62
2024-08-26 00:04:13,983,26422,1.330474,29.1875,31,62
2024-08-26 00:04:35,985,26454,1.332085,29.125,31,62
2024-08-26 00:04:56,980,26310,1.324834,29.0625,31,62
2024-08-26 00:05:17,974,26310,1.324834,29.0625,31,62
2024-08-26 00:05:38,969,26406,1.329668,29.0625,31,62
2024-08-26 00:05:59,967,26262,1.322417,29.125,31,62
2024-08-26 00:06:20,960,26118,1.315166,29.0625,31,62
2024-08-26 00:06:42,968,26086,1.313555,29.0625,31,62
2024-08-26 00:07:03,964,26070,1.312749,29.0,31,62
2024-08-26 00:07:24,955,26166,1.317583,29.0625,31,62
2024-08-26 00:07:45,956,25958,1.307109,29.0625,31,62
2024-08-26 00:08:07,948,26038,1.311138,29.0,31,63
2024-08-26 00:08:28,950,25990,1.30872,29.0,31,63
2024-08-26 00:08:49,952,25910,1.304692,29.0,31,63
2024-08-26 00:09:10,959,26006,1.309526,29.0,31,63
2024-08-26 00:09:31,958,25846,1.301469,29.0,31,63
2024-08-26 00:09:52,968,25862,1.302275,29.0,31,64
2024-08-26 00:10:14,967,25862,1.302275,28.9375,31,65
2024-08-26 00:10:35,980,25734,1.29583,29.0625,31,65
2024-08-26 00:10:56,975,25942,1.306304,29.0,31,65
2024-08-26 00:11:17,980,25782,1.298247,29.0,31,65
2024-08-26 00:11:38,984,25782,1.298247,29.0,31,66
2024-08-26 00:11:59,987,25718,1.295024,29.0625,31,66
2024-08-26 00:12:21,982,25670,1.292607,29.0625,31,66
2024-08-26 00:12:42,965,25814,1.299858,29.0625,31,66
2024-08-26 00:13:03,954,25606,1.289384,29.125,31,65
2024-08-26 00:13:24,948,25606,1.289384,29.1875,31,65
2024-08-26 00:13:45,947,25462,1.282133,29.0625,31,64
2024-08-26 00:14:06,959,25478,1.282939,29.0,31,63
2024-08-26 00:14:28,977,25638,1.290996,28.875,31,62
2024-08-26 00:14:49,967,25430,1.280522,28.8125,31,62
2024-08-26 00:15:10,966,25350,1.276493,28.8125,31,62
2024-08-26 00:15:31,967,25302,1.274076,28.8125,31,62
2024-08-26 00:15:52,957,25334,1.275688,28.8125,31,62
2024-08-26 00:16:14,954,25270,1.272465,28.75,31,62
2024-08-26 00:16:35,965,25222,1.270048,28.8125,31,61
2024-08-26 00:16:56,972,25190,1.268437,28.75,31,61
2024-08-26 00:17:17,963,25174,1.267631,28.6875,31,61
2024-08-26 00:17:38,967,25094,1.263603,28.8125,31,61
2024-08-26 00:17:59,966,25062,1.261991,28.8125,31,61
2024-08-26 00:18:21,968,25110,1.264408,28.875,31,61
2024-08-26 00:18:42,978,25046,1.261186,28.875,31,61
2024-08-26 00:19:03,991,24982,1.257963,28.9375,31,61
2024-08-26 00:19:24,980,25014,1.259574,28.875,31,61
2024-08-26 00:19:45,993,24982,1.257963,28.875,31,61
2024-08-26 00:20:07,980,24998,1.258769,28.875,31,61
2024-08-26 00:20:28,970,24966,1.257157,28.875,31,61
2024-08-26 00:20:49,952,24918,1.25474,28.8125,31,61
2024-08-26 00:21:10,957,24902,1.253935,28.75,31,60
2024-08-26 00:21:31,951,25062,1.261991,28.6875,31,60
2024-08-26 00:21:53,954,24966,1.257157,28.6875,31,60
2024-08-26 00:22:14,960,24966,1.257157,28.75,31,59
2024-08-26 00:22:35,959,24934,1.255546,28.75,31,59
2024-08-26 00:22:56,967,24854,1.251517,28.75,30,58
2024-08-26 00:23:17,966,24934,1.255546,28.75,30,58
2024-08-26 00:23:38,936,24902,1.253935,28.8125,30,58
2024-08-26 00:24:00,946,24918,1.25474,28.75,30,57
2024-08-26 00:24:21,947,24838,1.250712,28.6875,30,57
2024-08-26 00:24:42,959,24822,1.249906,28.6875,30,57
2024-08-26 00:25:03,960,24854,1.251517,28.6875,30,57
2024-08-26 00:25:24,957,24870,1.252323,28.6875,30,57
2024-08-26 00:25:46,974,24790,1.248295,28.6875,30,57
2024-08-26 00:26:07,968,24854,1.251517,28.75,30,57
2024-08-26 00:26:28,958,24790,1.248295,28.6875,30,57
2024-08-26 00:26:49,964,24790,1.248295,28.6875,30,57
2024-08-26 00:27:10,955,24774,1.247489,28.6875,30,57
2024-08-26 00:27:32,951,24758,1.246683,28.75,30,57
