current_time,Temperature-outside,Humidity-outside,Pressure-outside,GasResistance-outside
2024-08-17 12:51:07,29.33352,74.8082,1000.785,20491
2024-08-17 12:52:08,29.42063,74.81699,1000.776,20937
2024-08-17 12:53:10,29.50754,74.37655,1000.756,21259
2024-08-17 12:54:11,29.58723,73.79702,1000.683,21465
2024-08-17 12:55:12,29.68703,72.52872,1000.649,21655
2024-08-17 12:56:14,29.8173,71.94086,1000.665,21783
2024-08-17 12:57:15,29.94738,71.24452,1000.673,21740
2024-08-17 12:58:16,30.08019,70.91547,1000.668,21697
2024-08-17 12:59:17,30.21418,70.2431,1000.616,21697
2024-08-17 13:00:19,30.34777,69.97714,1000.65,21549
2024-08-17 13:01:20,30.46926,69.63988,1000.674,21655
2024-08-17 13:02:21,30.58274,69.40585,1000.691,21612
2024-08-17 13:03:23,30.69348,69.09526,1000.668,21403
2024-08-17 13:04:24,30.79543,69.08502,1000.647,21341
2024-08-17 13:05:25,30.89484,68.71897,1000.636,21259
2024-08-17 13:06:27,30.98957,68.54296,1000.627,21239
2024-08-17 13:07:28,31.07141,68.45438,1000.593,21097
2024-08-17 13:08:29,31.14777,68.45352,1000.583,21137
2024-08-17 13:09:31,31.2216,68.302,1000.574,21137
2024-08-17 13:10:32,31.29582,68.03507,1000.569,21097
2024-08-17 13:11:33,31.37414,67.89848,1000.579,20977
2024-08-17 13:12:35,31.44953,67.87671,1000.56,20819
2024-08-17 13:13:36,31.52473,67.93092,1000.546,20741
2024-08-17 13:14:37,31.60637,67.63765,1000.547,20702
2024-08-17 13:15:38,31.67297,67.80522,1000.547,20682
2024-08-17 13:16:40,31.73586,67.34644,1000.524,20548
2024-08-17 13:17:41,31.79504,67.25379,1000.541,20548
2024-08-17 13:18:42,31.84211,67.08452,1000.557,20491
2024-08-17 13:19:44,31.89191,66.84911,1000.534,20491
2024-08-17 13:20:45,31.94543,66.62033,1000.537,20415
2024-08-17 13:21:46,31.99738,66.49361,1000.558,20396
2024-08-17 13:22:47,32.04992,66.37353,1000.542,20340
2024-08-17 13:23:49,32.09856,66.29998,1000.552,20359
2024-08-17 13:24:50,32.14113,66.25313,1000.562,20210
2024-08-17 13:25:51,32.19113,66.32299,1000.574,20118
2024-08-17 13:26:53,32.24152,65.98553,1000.572,20136
2024-08-17 13:27:54,33.26027,68.59252,1000.587,17859
2024-08-17 13:33:19,34.67492,59.95662,1000.589,7444
2024-08-17 13:34:21,35.30676,59.46924,1000.588,12584
2024-08-17 13:35:22,35.84504,58.96527,1000.553,14989
2024-08-17 13:36:23,36.16301,58.63876,1000.552,16010
2024-08-17 13:37:24,36.36613,58.52775,1000.571,16317
2024-08-17 13:38:26,36.53254,57.30967,1000.578,16788
2024-08-17 13:39:27,36.59484,57.99354,1000.554,16788
2024-08-17 13:40:28,36.64758,57.53386,1000.561,16994
2024-08-17 13:41:30,36.65324,57.35282,1000.551,17259
2024-08-17 13:42:31,36.65305,57.527,1000.543,17354
2024-08-17 13:43:32,36.59387,57.54745,1000.587,17409
2024-08-17 13:44:34,36.44016,58.47343,1000.611,17659
2024-08-17 13:45:35,36.26203,58.34739,1000.628,17744
2024-08-17 13:46:36,36.16262,58.75573,1000.62,17888
2024-08-17 13:47:37,36.10168,58.98525,1000.612,17673
2024-08-17 13:48:39,36.17434,58.51712,1000.604,17917
2024-08-17 13:49:40,36.2675,58.20026,1000.573,17730
2024-08-17 13:50:41,36.42199,57.88598,1000.567,17547
2024-08-17 13:51:43,36.58527,57.24284,1000.561,17492
2024-08-17 13:52:44,36.65168,57.28427,1000.5,17478
2024-08-17 13:53:45,36.60656,57.25897,1000.512,17423
2024-08-17 13:54:47,36.58879,57.15924,1000.48,17603
2024-08-17 13:55:48,36.50617,57.8235,1000.479,17873
2024-08-17 13:56:49,36.36926,57.85019,1000.443,17773
2024-08-17 13:57:51,36.39563,57.394,1000.444,17859
2024-08-17 13:58:52,36.47961,56.8471,1000.423,17816
2024-08-17 13:59:53,36.58137,56.64888,1000.409,17830
2024-08-17 14:00:54,36.68312,56.06527,1000.433,17631
2024-08-17 14:01:56,36.73723,56.11029,1000.436,17505
2024-08-17 14:02:57,36.76516,56.22561,1000.426,17395
2024-08-17 14:03:58,36.79699,56.59355,1000.393,17464
2024-08-17 14:05:00,36.80519,56.51497,1000.378,17423
2024-08-17 14:06:01,36.80129,56.58761,1000.361,17450
2024-08-17 14:07:02,36.79816,57.20916,1000.355,17300
2024-08-17 14:08:03,36.79035,56.67912,1000.368,17286
2024-08-17 14:09:05,36.85344,56.81828,1000.376,17192
2024-08-17 14:10:06,36.89406,56.48481,1000.374,17314
2024-08-17 14:11:07,36.91066,56.31808,1000.375,17341
2024-08-17 14:12:09,36.95637,56.20516,1000.38,17246
2024-08-17 14:13:10,37.05188,55.7849,1000.357,17206
2024-08-17 14:14:11,37.10344,55.23186,1000.329,17395
2024-08-17 14:15:12,37.09719,55.2837,1000.315,17192
2024-08-17 14:16:14,37.09035,55.29366,1000.332,17409
2024-08-17 14:17:15,37.02219,55.49327,1000.305,17519
